ID,Section,Theme,Question,Suggested Owner,Status,Risk,Evidence,Decision,Dependencies
Q0087,III. Supplier Acquisition and Onboarding,supplier qualification,"Who owns supplier qualification, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0088,III. Supplier Acquisition and Onboarding,supplier qualification,"What would make regulators, banks, insurers, or enterprise buyers reject supplier qualification?",,,,,,
Q0089,III. Supplier Acquisition and Onboarding,onboarding completion,"What exact decision has been made about onboarding completion, and where is the authoritative record?",,,,,,
Q0090,III. Supplier Acquisition and Onboarding,onboarding completion,What evidence supports the current approach to onboarding completion?,,,,,,
Q0091,III. Supplier Acquisition and Onboarding,onboarding completion,"Who owns onboarding completion, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0092,III. Supplier Acquisition and Onboarding,onboarding completion,What parts of onboarding completion should be standardized globally?,,,,,,
Q0093,III. Supplier Acquisition and Onboarding,cooperative onboarding,"What exact decision has been made about cooperative onboarding, and where is the authoritative record?",,,,,,
Q0094,III. Supplier Acquisition and Onboarding,cooperative onboarding,What evidence supports the current approach to cooperative onboarding?,,,,,,
Q0095,III. Supplier Acquisition and Onboarding,cooperative onboarding,"Who owns cooperative onboarding, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0096,III. Supplier Acquisition and Onboarding,cooperative onboarding,What parts of cooperative onboarding must remain configurable by corridor or organization?,,,,,,
Q0097,III. Supplier Acquisition and Onboarding,aggregator onboarding,"What exact decision has been made about aggregator onboarding, and where is the authoritative record?",,,,,,
Q0098,III. Supplier Acquisition and Onboarding,aggregator onboarding,What evidence supports the current approach to aggregator onboarding?,,,,,,
Q0099,III. Supplier Acquisition and Onboarding,aggregator onboarding,"Who owns aggregator onboarding, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0100,III. Supplier Acquisition and Onboarding,aggregator onboarding,"What triggers review, escalation, suspension, or reversal within aggregator onboarding?",,,,,,
Q0101,III. Supplier Acquisition and Onboarding,exporter onboarding,"What exact decision has been made about exporter onboarding, and where is the authoritative record?",,,,,,
Q0102,III. Supplier Acquisition and Onboarding,exporter onboarding,What evidence supports the current approach to exporter onboarding?,,,,,,
Q0103,III. Supplier Acquisition and Onboarding,exporter onboarding,"Who owns exporter onboarding, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0104,III. Supplier Acquisition and Onboarding,exporter onboarding,How will the platform explain decisions related to exporter onboarding to affected users?,,,,,,
Q0105,III. Supplier Acquisition and Onboarding,smallholder representation,"What exact decision has been made about smallholder representation, and where is the authoritative record?",,,,,,
Q0106,III. Supplier Acquisition and Onboarding,smallholder representation,What evidence supports the current approach to smallholder representation?,,,,,,
Q0107,III. Supplier Acquisition and Onboarding,smallholder representation,"Who owns smallholder representation, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0108,III. Supplier Acquisition and Onboarding,smallholder representation,What documentation must stay current for smallholder representation?,,,,,,
Q0109,III. Supplier Acquisition and Onboarding,supplier education,"What exact decision has been made about supplier education, and where is the authoritative record?",,,,,,
Q0110,III. Supplier Acquisition and Onboarding,supplier education,What evidence supports the current approach to supplier education?,,,,,,
Q0111,III. Supplier Acquisition and Onboarding,supplier education,"Who owns supplier education, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0112,III. Supplier Acquisition and Onboarding,supplier education,What staff capability is required to operate supplier education safely?,,,,,,
Q0113,III. Supplier Acquisition and Onboarding,supplier retention,"What exact decision has been made about supplier retention, and where is the authoritative record?",,,,,,
Q0114,III. Supplier Acquisition and Onboarding,supplier retention,What evidence supports the current approach to supplier retention?,,,,,,
Q0115,III. Supplier Acquisition and Onboarding,supplier retention,"Who owns supplier retention, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0116,III. Supplier Acquisition and Onboarding,supplier retention,What partner dependency creates the greatest risk to supplier retention?,,,,,,
Q0117,III. Supplier Acquisition and Onboarding,supplier support,"What exact decision has been made about supplier support, and where is the authoritative record?",,,,,,
Q0118,III. Supplier Acquisition and Onboarding,supplier support,What evidence supports the current approach to supplier support?,,,,,,
Q0119,III. Supplier Acquisition and Onboarding,supplier support,"Who owns supplier support, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0120,III. Supplier Acquisition and Onboarding,supplier support,What concentration risk exists within supplier support?,,,,,,
Q0121,"IV. Supplier Verification, Quality, and Capacity",identity verification,"What exact decision has been made about identity verification, and where is the authoritative record?",,,,,,
Q0122,"IV. Supplier Verification, Quality, and Capacity",identity verification,What evidence supports the current approach to identity verification?,,,,,,
Q0123,"IV. Supplier Verification, Quality, and Capacity",identity verification,"Who owns identity verification, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0124,"IV. Supplier Verification, Quality, and Capacity",identity verification,What fraud pattern is most likely to exploit identity verification?,,,,,,
Q0125,"IV. Supplier Verification, Quality, and Capacity",business verification,"What exact decision has been made about business verification, and where is the authoritative record?",,,,,,
Q0126,"IV. Supplier Verification, Quality, and Capacity",business verification,What evidence supports the current approach to business verification?,,,,,,
Q0127,"IV. Supplier Verification, Quality, and Capacity",business verification,"Who owns business verification, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0128,"IV. Supplier Verification, Quality, and Capacity",business verification,What privacy or data-protection issue arises from business verification?,,,,,,
Q0129,"IV. Supplier Verification, Quality, and Capacity",farm and facility verification,"What exact decision has been made about farm and facility verification, and where is the authoritative record?",,,,,,
Q0130,"IV. Supplier Verification, Quality, and Capacity",farm and facility verification,What evidence supports the current approach to farm and facility verification?,,,,,,
Q0131,"IV. Supplier Verification, Quality, and Capacity",farm and facility verification,"Who owns farm and facility verification, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0132,"IV. Supplier Verification, Quality, and Capacity",farm and facility verification,What technical bottleneck could break farm and facility verification at scale?,,,,,,
Q0133,"IV. Supplier Verification, Quality, and Capacity",production capacity verification,"What exact decision has been made about production capacity verification, and where is the authoritative record?",,,,,,
Q0134,"IV. Supplier Verification, Quality, and Capacity",production capacity verification,What evidence supports the current approach to production capacity verification?,,,,,,
Q0135,"IV. Supplier Verification, Quality, and Capacity",production capacity verification,"Who owns production capacity verification, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0136,"IV. Supplier Verification, Quality, and Capacity",production capacity verification,What commercial incentive might cause users to bypass production capacity verification?,,,,,,
Q0137,"IV. Supplier Verification, Quality, and Capacity",quality verification,"What exact decision has been made about quality verification, and where is the authoritative record?",,,,,,
Q0138,"IV. Supplier Verification, Quality, and Capacity",quality verification,What evidence supports the current approach to quality verification?,,,,,,
Q0139,"IV. Supplier Verification, Quality, and Capacity",quality verification,"Who owns quality verification, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0140,"IV. Supplier Verification, Quality, and Capacity",quality verification,What prevents parties from moving activity outside the platform after using quality verification?,,,,,,
Q0141,"IV. Supplier Verification, Quality, and Capacity",certification verification,"What exact decision has been made about certification verification, and where is the authoritative record?",,,,,,
Q0142,"IV. Supplier Verification, Quality, and Capacity",certification verification,What evidence supports the current approach to certification verification?,,,,,,
Q0143,"IV. Supplier Verification, Quality, and Capacity",certification verification,"Who owns certification verification, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0144,"IV. Supplier Verification, Quality, and Capacity",certification verification,What is the target completion time for a user workflow involving certification verification?,,,,,,
Q0145,"IV. Supplier Verification, Quality, and Capacity",bank account verification,"What exact decision has been made about bank account verification, and where is the authoritative record?",,,,,,
Q0146,"IV. Supplier Verification, Quality, and Capacity",bank account verification,What evidence supports the current approach to bank account verification?,,,,,,
Q0147,"IV. Supplier Verification, Quality, and Capacity",bank account verification,"Who owns bank account verification, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0148,"IV. Supplier Verification, Quality, and Capacity",bank account verification,What user permission model applies to bank account verification?,,,,,,
Q0149,"IV. Supplier Verification, Quality, and Capacity",export history verification,"What exact decision has been made about export history verification, and where is the authoritative record?",,,,,,
Q0150,"IV. Supplier Verification, Quality, and Capacity",export history verification,What evidence supports the current approach to export history verification?,,,,,,
Q0151,"IV. Supplier Verification, Quality, and Capacity",export history verification,"Who owns export history verification, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0152,"IV. Supplier Verification, Quality, and Capacity",export history verification,What event or state change should trigger notifications for export history verification?,,,,,,
Q0153,"IV. Supplier Verification, Quality, and Capacity",supplier risk scoring,"What exact decision has been made about supplier risk scoring, and where is the authoritative record?",,,,,,
Q0154,"IV. Supplier Verification, Quality, and Capacity",supplier risk scoring,What evidence supports the current approach to supplier risk scoring?,,,,,,
Q0155,"IV. Supplier Verification, Quality, and Capacity",supplier risk scoring,"Who owns supplier risk scoring, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0156,"IV. Supplier Verification, Quality, and Capacity",supplier risk scoring,What records must be immutable within supplier risk scoring?,,,,,,
Q0157,"IV. Supplier Verification, Quality, and Capacity",re-verification,"What exact decision has been made about re-verification, and where is the authoritative record?",,,,,,
Q0158,"IV. Supplier Verification, Quality, and Capacity",re-verification,What evidence supports the current approach to re-verification?,,,,,,
Q0159,"IV. Supplier Verification, Quality, and Capacity",re-verification,"Who owns re-verification, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0160,"IV. Supplier Verification, Quality, and Capacity",re-verification,"What records should be editable, versioned, or revocable within re-verification?",,,,,,
Q0161,"V. Buyer Acquisition, Procurement, and Trust",buyer segmentation,"What exact decision has been made about buyer segmentation, and where is the authoritative record?",,,,,,
Q0162,"V. Buyer Acquisition, Procurement, and Trust",buyer segmentation,What evidence supports the current approach to buyer segmentation?,,,,,,
Q0163,"V. Buyer Acquisition, Procurement, and Trust",buyer segmentation,"Who owns buyer segmentation, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0164,"V. Buyer Acquisition, Procurement, and Trust",buyer segmentation,What is the rollback or recovery plan when a change to buyer segmentation causes harm?,,,,,,
Q0165,"V. Buyer Acquisition, Procurement, and Trust",buyer verification,"What exact decision has been made about buyer verification, and where is the authoritative record?",,,,,,
Q0166,"V. Buyer Acquisition, Procurement, and Trust",buyer verification,What evidence supports the current approach to buyer verification?,,,,,,
Q0167,"V. Buyer Acquisition, Procurement, and Trust",buyer verification,"Who owns buyer verification, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0168,"V. Buyer Acquisition, Procurement, and Trust",buyer verification,What decision about buyer verification must leadership make before pilot launch?,,,,,,
Q0169,"V. Buyer Acquisition, Procurement, and Trust",procurement workflow,"What exact decision has been made about procurement workflow, and where is the authoritative record?",,,,,,
Q0170,"V. Buyer Acquisition, Procurement, and Trust",procurement workflow,What evidence supports the current approach to procurement workflow?,,,,,,
Q0171,"V. Buyer Acquisition, Procurement, and Trust",procurement workflow,"Who owns procurement workflow, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0172,"V. Buyer Acquisition, Procurement, and Trust",procurement workflow,What decision about procurement workflow should wait until real transaction data exists?,,,,,,
Q0173,"V. Buyer Acquisition, Procurement, and Trust",buyer demand capture,"What exact decision has been made about buyer demand capture, and where is the authoritative record?",,,,,,
Q0174,"V. Buyer Acquisition, Procurement, and Trust",buyer demand capture,What evidence supports the current approach to buyer demand capture?,,,,,,
Q0175,"V. Buyer Acquisition, Procurement, and Trust",buyer demand capture,"Who owns buyer demand capture, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0176,"V. Buyer Acquisition, Procurement, and Trust",buyer demand capture,What would a strong enterprise buyer expect from buyer demand capture?,,,,,,
Q0177,"V. Buyer Acquisition, Procurement, and Trust",buyer qualification,"What exact decision has been made about buyer qualification, and where is the authoritative record?",,,,,,
Q0178,"V. Buyer Acquisition, Procurement, and Trust",buyer qualification,What evidence supports the current approach to buyer qualification?,,,,,,
Q0179,"V. Buyer Acquisition, Procurement, and Trust",buyer qualification,"Who owns buyer qualification, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0180,"V. Buyer Acquisition, Procurement, and Trust",buyer qualification,What would a small African supplier struggle with most inside buyer qualification?,,,,,,
Q0181,"V. Buyer Acquisition, Procurement, and Trust",buyer risk scoring,"What exact decision has been made about buyer risk scoring, and where is the authoritative record?",,,,,,
Q0182,"V. Buyer Acquisition, Procurement, and Trust",buyer risk scoring,What evidence supports the current approach to buyer risk scoring?,,,,,,
Q0183,"V. Buyer Acquisition, Procurement, and Trust",buyer risk scoring,"Who owns buyer risk scoring, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0184,"V. Buyer Acquisition, Procurement, and Trust",buyer risk scoring,What is the smallest pilot capable of validating buyer risk scoring?,,,,,,
Q0185,"V. Buyer Acquisition, Procurement, and Trust",buyer retention,"What exact decision has been made about buyer retention, and where is the authoritative record?",,,,,,
Q0186,"V. Buyer Acquisition, Procurement, and Trust",buyer retention,What evidence supports the current approach to buyer retention?,,,,,,
Q0187,"V. Buyer Acquisition, Procurement, and Trust",buyer retention,"Who owns buyer retention, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0188,"V. Buyer Acquisition, Procurement, and Trust",buyer retention,Which data must be collected to manage buyer retention responsibly?,,,,,,
Q0189,"V. Buyer Acquisition, Procurement, and Trust",enterprise procurement integration,"What exact decision has been made about enterprise procurement integration, and where is the authoritative record?",,,,,,
Q0190,"V. Buyer Acquisition, Procurement, and Trust",enterprise procurement integration,What evidence supports the current approach to enterprise procurement integration?,,,,,,
Q0191,"V. Buyer Acquisition, Procurement, and Trust",enterprise procurement integration,"Who owns enterprise procurement integration, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0192,"V. Buyer Acquisition, Procurement, and Trust",enterprise procurement integration,What would failure of enterprise procurement integration look like in a live transaction?,,,,,,
Q0193,"V. Buyer Acquisition, Procurement, and Trust",buyer support,"What exact decision has been made about buyer support, and where is the authoritative record?",,,,,,
Q0194,"V. Buyer Acquisition, Procurement, and Trust",buyer support,What evidence supports the current approach to buyer support?,,,,,,
Q0195,"V. Buyer Acquisition, Procurement, and Trust",buyer support,"Who owns buyer support, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0196,"V. Buyer Acquisition, Procurement, and Trust",buyer support,"Which controls prevent abuse, error, or fraud related to buyer support?",,,,,,
Q0197,"V. Buyer Acquisition, Procurement, and Trust",repeat purchasing,"What exact decision has been made about repeat purchasing, and where is the authoritative record?",,,,,,
Q0198,"V. Buyer Acquisition, Procurement, and Trust",repeat purchasing,What evidence supports the current approach to repeat purchasing?,,,,,,
Q0199,"V. Buyer Acquisition, Procurement, and Trust",repeat purchasing,"Who owns repeat purchasing, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0200,"V. Buyer Acquisition, Procurement, and Trust",repeat purchasing,What metric proves repeat purchasing is improving rather than adding complexity?,,,,,,
Q0201,VI. Commodity Taxonomy and Product Intelligence,commodity hierarchy,"What exact decision has been made about commodity hierarchy, and where is the authoritative record?",,,,,,
Q0202,VI. Commodity Taxonomy and Product Intelligence,commodity hierarchy,What evidence supports the current approach to commodity hierarchy?,,,,,,
Q0203,VI. Commodity Taxonomy and Product Intelligence,commodity hierarchy,"Who owns commodity hierarchy, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0204,VI. Commodity Taxonomy and Product Intelligence,commodity hierarchy,What dependencies must exist before commodity hierarchy works end to end?,,,,,,
Q0205,VI. Commodity Taxonomy and Product Intelligence,category-specific attributes,"What exact decision has been made about category-specific attributes, and where is the authoritative record?",,,,,,
Q0206,VI. Commodity Taxonomy and Product Intelligence,category-specific attributes,What evidence supports the current approach to category-specific attributes?,,,,,,
Q0207,VI. Commodity Taxonomy and Product Intelligence,category-specific attributes,"Who owns category-specific attributes, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0208,VI. Commodity Taxonomy and Product Intelligence,category-specific attributes,"What legal, regulatory, or contractual exposure is created by category-specific attributes?",,,,,,
Q0209,VI. Commodity Taxonomy and Product Intelligence,quality grades,"What exact decision has been made about quality grades, and where is the authoritative record?",,,,,,
Q0210,VI. Commodity Taxonomy and Product Intelligence,quality grades,What evidence supports the current approach to quality grades?,,,,,,
Q0211,VI. Commodity Taxonomy and Product Intelligence,quality grades,"Who owns quality grades, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0212,VI. Commodity Taxonomy and Product Intelligence,quality grades,"Which part of quality grades belongs in software, and which part requires human operations?",,,,,,
Q0213,VI. Commodity Taxonomy and Product Intelligence,units of measure,"What exact decision has been made about units of measure, and where is the authoritative record?",,,,,,
Q0214,VI. Commodity Taxonomy and Product Intelligence,units of measure,What evidence supports the current approach to units of measure?,,,,,,
Q0215,VI. Commodity Taxonomy and Product Intelligence,units of measure,"Who owns units of measure, and what authority, budget, and deadline does that owner hold?",,,,,,
